,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
209,bobby-vans-grill-jamaica,2.5,280,2.52,87,60,59,49,25,3,2.67,1,1,0,0,1,$50 and over,American
210,kingside-new-york,3.5,226,3.4,26,31,52,61,56,3,3.67,1,0,0,0,2,$31 to $50,American
211,i-trulli-new-york,3.5,339,3.61,29,39,64,109,98,3,3.0,0,1,1,1,0,$31 to $50,Italian
212,haru-sushi-new-york-18,3.5,73,3.27,14,9,12,19,19,0,,0,0,0,0,0,$31 to $50,Japanese & Koren
213,club-a-steakhouse-new-york,4.5,2546,4.39,80,84,236,514,1632,15,4.2,1,2,0,2,10,$50 and over,Steakhouse
214,il-postino-new-york-2,3.5,107,3.65,10,14,14,34,35,5,2.2,1,3,0,1,0,$50 and over,Italian
215,nippon-new-york,3.5,156,3.74,11,19,22,51,53,2,5.0,0,0,0,0,2,$31 to $50,Japanese & Koren
216,green-fig-new-york-2,3.5,119,3.38,29,11,13,18,48,2,2.5,1,0,0,1,0,$31 to $50,Mediterranean
217,tender-steak-and-sushi-new-york-2,4.0,280,3.86,25,22,42,70,121,2,3.0,1,0,0,0,1,$31 to $50,American
218,tarallucci-e-vino-union-square-new-york-5,3.5,353,3.64,25,42,61,133,92,5,4.0,0,1,0,2,2,$31 to $50,Italian
219,bobby-vans-steakhouse-new-york-3,3.5,373,3.45,41,49,78,110,95,3,4.0,0,1,0,0,2,$31 to $50,Steakhouse
220,astor-court-new-york,3.0,68,3.24,14,9,9,19,17,1,4.0,0,0,0,1,0,$31 to $50,Other
221,sofrito-new-york-new-york,2.5,491,2.5,191,80,69,87,64,12,2.33,3,4,4,0,1,$30 and under,Spanish
222,tarallucci-e-vino-nomad-new-york,4.0,110,3.97,8,8,18,21,55,2,3.5,0,0,1,1,0,$31 to $50,Italian
